,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,HasName,AdoptionSpeed
0,2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,0,1,1,2
1,2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,0,2,0,0
2,1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,0,7,1,3
3,1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,0,8,1,2
4,1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,0,3,1,2
5,2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,0,2,0,2
6,2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,0,3,1,1
7,1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,0,9,1,3
8,2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,0,6,0,1
9,2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,0,2,1,4
10,1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,0,7,1,1
11,2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,0,2,1,1
12,1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,0,1,1,2
13,2,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,0,1,1,1
14,1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,0,2,1,2
15,1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,0,2,1,4
16,2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,0,1,1,3
17,1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,0,2,1,4
18,1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,0,8,1,2
19,2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,0,1,0,4
20,1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,0,7,1,2
21,1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,0,5,1,4
22,2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,0,0,1,4
23,1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,0,1,4
24,2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,0,19,1,1
25,2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,41326,0,3,1,2
26,2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,0,11,1,1
27,2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,0,2,1,2
28,1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,41326,0,0,1,3
29,2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,0,1,1,2
30,1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,0,5,1,3
31,2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,0,1,1,1
32,1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,0,1,1,4
33,2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,41326,0,7,0,3
34,2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,41327,0,5,1,4
35,2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,41326,0,5,1,1
36,2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,0,2,0,4
37,2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,0,3,1,1
38,1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,0,4,1,1
39,1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,0,1,1,3
40,2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,41326,0,13,1,3
41,2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,41326,0,1,1,2
42,2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,41326,0,1,1,1
43,1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,41401,0,6,1,3
44,1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,41336,0,2,1,4
45,1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,0,11,1,4
46,2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,41326,0,13,1,3
47,1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,3,1,4
48,1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,41326,0,3,1,3
49,2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,41326,0,3,1,2
50,1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,41326,0,13,1,3
51,2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,41401,0,1,1,4
52,1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41326,0,3,1,3
53,1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,41326,0,5,1,4
54,1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,41326,0,0,1,3
55,2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,41401,0,15,1,2
56,2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,41326,0,4,1,4
57,1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,0,2,1,2
58,1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,41326,0,3,1,1
59,2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,0,1,1,4
60,2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,41326,0,5,1,1
61,1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,41327,0,2,1,4
62,1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,41326,0,2,1,4
63,1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41327,0,5,1,2
64,1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,41326,0,21,1,3
65,1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,41326,0,5,1,1
66,2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,41324,0,1,0,4
67,2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,41401,0,1,1,2
68,2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,0,1,1,2
69,1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,41401,0,3,1,4
70,1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,41326,0,1,1,4
71,1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,0,1,1,3
72,1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,41401,0,5,1,1
73,1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41326,0,3,1,4
74,1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,41335,0,5,1,2
75,1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,0,1,1,0
76,1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,41326,1,3,1,4
77,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,3,1,3
78,1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,5,1,1
79,1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,0,1,0,3
80,1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,41327,0,1,1,4
81,1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,0,2,1,1
82,1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,0,1,1,2
83,1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,3,1,3
84,2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,0,4,1,3
85,1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,0,3,1,2
86,2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,41326,0,2,1,4
87,1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,0,4,1,2
88,1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41330,3,11,1,3
89,1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,4,18,1,3
90,1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,0,5,1,3
91,2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,41326,0,3,1,4
92,1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,41326,0,0,0,4
93,2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,0,12,1,3
94,2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,41326,0,1,1,4
95,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,0,2,1,3
96,2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,41401,0,3,1,1
97,1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,41401,0,3,1,3
98,1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41336,0,3,1,3
99,2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,41326,0,1,0,1
100,2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,41401,0,1,0,2
101,1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,41326,0,2,1,2
102,1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,41401,0,3,1,4
103,1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,0,1,1,3
104,2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,41326,0,7,1,1
105,2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41401,0,2,1,2
106,2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,41401,0,3,1,0
107,1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,41401,0,2,1,3
108,2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,41401,0,2,0,1
109,1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,0,4,1,4
110,1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,41327,0,5,0,3
111,2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,41324,0,1,1,4
112,2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,41401,0,5,1,2
113,1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,41401,0,3,0,4
114,1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41326,0,4,1,4
115,2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,41326,0,2,0,4
